phone;COUNT z doctor_id;COUNTUNIQUE z status;0;
393382011001;4;2;0;other
393382011005;3;1;3,93382E+11;other
393382011008;3;2;0;other
393382011011;2;2;0;booked-user
393382011013;2;2;0;booked-user
393382011015;2;1;3,93382E+11;other
393382011017;11;2;0;other
393382011028;3;1;3,93382E+11;other
393382011031;2;1;3,93382E+11;other
393382011033;3;1;3,93382E+11;other
393382011036;3;1;3,93382E+11;other
393382011039;6;2;0;other
393382011045;2;1;3,93382E+11;other
393382011047;4;1;3,93382E+11;other
393382011051;11;2;0;other
393382011062;2;1;3,93382E+11;other
393382011064;2;1;3,93382E+11;other
393382011066;3;1;3,93382E+11;other
393382011069;2;1;3,93382E+11;other
393382011071;2;1;3,93382E+11;other
393382011073;6;2;0;other
393382011079;2;2;0;booked-user
393382011081;2;2;0;booked-user
393382011083;2;1;3,93382E+11;other
393382011085;2;1;3,93382E+11;other
393382011087;2;1;3,93382E+11;other
393382011089;3;1;3,93382E+11;other
393382011092;4;1;3,93382E+11;other
393382011096;2;1;3,93382E+11;other
393382011098;2;1;3,93382E+11;other
393382011100;3;2;0;other
393382011103;4;1;3,93382E+11;other
393382011107;7;2;0;other
393382011114;2;1;3,93382E+11;other
393382011116;4;2;0;other
393382011120;2;2;0;booked-user
393382011122;2;2;0;booked-user
393382011124;2;2;0;booked-user
393382011126;2;2;0;booked-user
393382011128;2;1;3,93382E+11;other
393382011130;2;1;3,93382E+11;other
393382011132;17;2;0;other
393382011149;2;2;0;booked-user
393382011151;3;2;0;other
393382011154;15;2;0;other
393382011169;5;2;0;other
393382011174;4;2;0;other
393382011178;8;2;0;other
393382011186;4;1;3,93382E+11;other
393382011190;2;1;3,93382E+11;other
393382011192;2;1;3,93382E+11;other
393382011194;7;2;0;other
393382011201;11;2;0;other
393382011212;2;1;3,93382E+11;other
393382011214;2;1;3,93382E+11;other
393382011216;13;2;0;other
393382011229;2;1;3,93382E+11;other
393382011231;2;2;0;booked-user
393382011233;7;2;0;other
393382011240;3;1;3,93382E+11;other
393382011243;2;1;3,93382E+11;other
393382011245;6;2;0;other
393382011251;2;2;0;booked-user
393382011253;2;1;3,93382E+11;other
393382011255;3;1;3,93382E+11;other
393382011258;4;2;0;other
393382011262;2;1;3,93382E+11;other
393382011264;6;2;0;other
393382011270;5;2;0;other
393382011275;2;1;3,93382E+11;other
393382011277;3;1;3,93382E+11;other
393382011280;3;1;3,93382E+11;other
393382011283;2;1;3,93382E+11;other
393382011285;5;2;0;other
393382011290;2;2;0;booked-user
393382011292;2;1;3,93382E+11;other
393382011294;6;2;0;other
393382011300;4;2;0;other
393382011304;3;2;0;other
393382011307;2;2;0;booked-user
393382011309;3;2;0;other
393382011312;4;2;0;other
393382011316;5;1;3,93382E+11;other
393382011321;5;2;0;other
393382011326;4;2;0;other
393382011330;2;1;3,93382E+11;other
393382011332;2;1;3,93382E+11;other
393382011334;3;2;0;other
393382011337;9;2;0;other
393382011346;8;2;0;other
393382011354;2;1;3,93382E+11;other
393382011356;2;1;3,93382E+11;other
393382011358;13;2;0;other
393382011371;2;1;3,93382E+11;other
393382011373;3;1;3,93382E+11;other
393382011376;2;1;3,93382E+11;other
393382011378;3;2;0;other
393382011381;16;2;0;other
393382011397;6;2;0;other
393382011403;2;1;3,93382E+11;other
393382011405;2;1;3,93382E+11;other
393382011407;3;2;0;other
393382011410;2;2;0;booked-doctor
393382011412;3;1;3,93382E+11;other
393382011415;2;1;3,93382E+11;other
393382011417;3;1;3,93382E+11;other
393382011420;3;2;0;other
393382011423;2;2;0;booked-user
393382011425;3;1;3,93382E+11;other
393382011428;2;1;3,93382E+11;other
393382011430;3;1;3,93382E+11;other
393382011433;2;1;3,93382E+11;other
393382011435;2;1;3,93382E+11;other
393382011437;3;2;0;other
393382011440;2;1;3,93382E+11;other
393382011442;2;1;3,93382E+11;other
393382011444;2;2;0;booked-user
393382011446;3;2;0;other
393382011449;2;2;0;booked-user
393382011451;2;1;3,93382E+11;other
393382011453;2;2;0;booked-user
393382011455;5;1;3,93382E+11;other
393382011460;2;2;0;booked-user
393382011462;2;1;3,93382E+11;other
393382011464;2;1;3,93382E+11;other
393382011466;3;1;3,93382E+11;other
393382011469;4;2;0;other
393382011473;2;2;0;booked-user
393382011475;2;1;3,93382E+11;other
393382011477;2;1;3,93382E+11;other
393382011479;2;1;3,93382E+11;other
393382011481;3;2;0;other
393382011484;3;1;3,93382E+11;other
393382011487;2;1;3,93382E+11;other
393382011489;2;1;3,93382E+11;other
393382011491;2;1;3,93382E+11;other
393382011493;3;1;3,93382E+11;other
393382011496;2;1;3,93382E+11;other
393382011498;2;1;3,93382E+11;other
393382011500;3;2;0;other
393382011503;2;1;3,93382E+11;other
393382011505;2;2;0;booked-user
393382011507;2;1;3,93382E+11;other
393382011509;3;1;3,93382E+11;other
393382011512;6;2;0;other
393382011518;6;2;0;other
393382011524;2;1;3,93382E+11;other
393382011526;4;2;0;other
393382011530;2;1;3,93382E+11;other
